region,year,age_group,gender,ethnic_group,population,literacy_rate,employed,employment_rate
West,2018,25-44,Female,Group C,33438,67.28,503,1.5
Central,2021,25-44,Female,Group D,3309,89.01,6686,202.06
East,2011,15-24,Male,Group D,40261,68.52,5766,14.32
North,2012,65+,Male,Group A,27430,88.86,21741,79.26
East,2011,25-44,Male,Group C,23595,74.4,4091,17.34
East,2022,15-24,Male,Group A,12446,60.03,9246,74.29
South,2010,65+,Female,Group A,4491,71.41,29941,666.69
South,2013,45-64,Male,Group B,24019,65.04,5924,24.66
South,2014,0-14,Male,Group D,27157,59.32,22864,84.19
South,2022,15-24,Male,Group A,1326,59.74,5550,418.55
Central,2015,0-14,Male,Group B,43125,88.54,14225,32.99
West,2014,45-64,Male,Group A,17013,92.9,28425,167.08
North,2010,25-44,Female,Group A,18301,94.87,9364,51.17
East,2012,25-44,Female,Group A,30346,91.72,37101,122.26
Central,2010,65+,Male,Group D,40066,90.7,9570,23.89
North,2020,15-24,Male,Group C,23657,57.96,33072,139.8
Central,2014,15-24,Male,Group D,28863,88.98,25030,86.72
Central,2014,65+,Male,Group B,5636,88.68,24155,428.58
East,2021,0-14,Female,Group C,17921,60.65,23185,129.37
West,2020,25-44,Male,Group B,12991,83.47,23255,179.01
South,2022,25-44,Female,Group A,8046,74.46,25366,315.26
West,2015,15-24,Male,Group C,6403,93.7,12589,196.61
East,2017,15-24,Female,Group B,47123,84.9,19547,41.48
East,2019,65+,Female,Group A,16906,95.89,16560,97.95
East,2021,45-64,Female,Group B,15449,59.51,14414,93.3
North,2010,0-14,Male,Group B,10325,56.75,27422,265.59
West,2013,45-64,Male,Group D,6787,96.86,6943,102.3
West,2019,45-64,Female,Group A,45461,58.45,35556,78.21
Central,2020,15-24,Male,Group D,34673,71.61,34503,99.51
Central,2010,15-24,Male,Group C,42938,82.95,14898,34.7
Central,2018,15-24,Female,Group A,18078,92.84,34996,193.58
East,2020,45-64,Male,Group D,42035,65.95,29802,70.9
West,2016,0-14,Female,Group D,8423,56.25,15147,179.83
East,2016,15-24,Male,Group C,34874,77.42,35737,102.47
North,2021,25-44,Male,Group B,41911,75.26,22669,54.09
Central,2014,0-14,Female,Group B,8816,68.2,6686,75.84
East,2016,25-44,Female,Group B,44914,92.58,7441,16.57
East,2021,0-14,Female,Group C,11056,87.22,31054,280.88
North,2024,15-24,Female,Group D,10558,91.9,19571,185.37
South,2011,65+,Male,Group A,39518,61.96,32724,82.81
West,2023,15-24,Male,Group C,34951,84.77,22674,64.87
South,2022,45-64,Male,Group B,25982,96.93,12867,49.52
Central,2013,45-64,Female,Group B,44994,81.31,14001,31.12
East,2023,0-14,Male,Group A,25505,62.37,4605,18.06
North,2023,45-64,Male,Group C,19635,97.82,2353,11.98
North,2016,15-24,Male,Group B,24388,77.72,25331,103.87
West,2012,25-44,Female,Group C,32981,91.12,19880,60.28
South,2011,15-24,Female,Group D,28901,61.42,19897,68.85
West,2019,0-14,Male,Group C,40931,83.64,39264,95.93
East,2011,45-64,Male,Group D,25437,94.24,35551,139.76
West,2022,25-44,Female,Group A,46351,77.88,28483,61.45
North,2010,65+,Female,Group D,13646,67.41,28644,209.91
North,2014,25-44,Female,Group D,30601,60.48,36011,117.68
Central,2021,25-44,Female,Group A,11753,67.73,22563,191.98
Central,2015,15-24,Male,Group B,49004,70.26,19846,40.5
East,2015,65+,Female,Group A,3723,85.53,16236,436.1
South,2018,0-14,Male,Group C,5941,62.68,6926,116.58
West,2013,0-14,Female,Group A,43090,59.56,36990,85.84
East,2010,25-44,Male,Group C,40649,71.64,18474,45.45
Central,2015,25-44,Male,Group B,13363,74.72,24787,185.49
West,2024,45-64,Female,Group C,38452,82.02,21755,56.58
Central,2014,65+,Male,Group A,30064,85.42,10368,34.49
West,2019,25-44,Male,Group A,17153,93.24,15303,89.21
South,2015,45-64,Male,Group B,24588,67.43,26101,106.15
East,2012,65+,Female,Group A,22999,77.73,30767,133.78
West,2011,0-14,Female,Group B,42583,70.74,13407,31.48
North,2015,45-64,Female,Group B,24182,55.06,39632,163.89
North,2022,65+,Male,Group A,32632,79.92,23891,73.21
West,2010,45-64,Male,Group D,5033,90.08,3756,74.63
West,2016,25-44,Male,Group C,17926,56.57,33333,185.95
West,2016,15-24,Male,Group D,15060,55.15,16093,106.86
North,2019,0-14,Female,Group B,34909,86.3,16066,46.02
North,2022,25-44,Male,Group C,16425,84.41,856,5.21
West,2016,25-44,Male,Group D,23487,72.45,15296,65.13
Central,2024,65+,Male,Group A,11133,83.45,15647,140.55
Central,2021,45-64,Female,Group D,36565,96.0,20054,54.84
South,2020,0-14,Male,Group C,30625,65.66,22183,72.43
East,2019,25-44,Female,Group C,4496,65.57,31396,698.31
Central,2010,65+,Female,Group C,514,63.01,12246,2382.49
North,2024,0-14,Male,Group C,15395,86.13,39394,255.89
Central,2013,45-64,Male,Group D,2174,70.19,34729,1597.47
South,2022,25-44,Male,Group A,38367,97.51,1156,3.01
South,2016,25-44,Male,Group A,20501,85.73,24760,120.77
East,2020,25-44,Female,Group C,18364,70.8,24375,132.73
Central,2018,0-14,Female,Group A,26821,61.41,21495,80.14
North,2014,0-14,Female,Group D,24582,80.46,15055,61.24
North,2022,0-14,Female,Group A,40631,67.68,18203,44.8
West,2011,0-14,Female,Group B,6457,93.94,13236,204.99
North,2016,65+,Female,Group A,4710,73.98,38973,827.45
East,2019,15-24,Female,Group C,49044,67.58,14044,28.64
East,2010,65+,Female,Group A,18569,80.31,845,4.55
North,2016,25-44,Female,Group A,35351,60.89,33346,94.33
North,2015,65+,Female,Group A,27365,79.15,17724,64.77
West,2016,45-64,Male,Group A,18570,57.41,20319,109.42
North,2023,0-14,Male,Group B,4658,81.1,26789,575.12
West,2022,45-64,Male,Group D,49839,77.8,17245,34.6
West,2019,45-64,Female,Group C,36050,77.39,13363,37.07
North,2012,25-44,Male,Group C,21072,84.42,24787,117.63
South,2024,0-14,Female,Group A,4600,56.91,21793,473.76
South,2012,45-64,Female,Group D,44969,74.77,33355,74.17
West,2016,25-44,Male,Group A,16025,74.09,31002,193.46
North,2022,0-14,Female,Group B,18956,74.77,28609,150.92
South,2011,15-24,Male,Group D,597,97.14,10311,1727.14
North,2010,25-44,Female,Group D,9983,60.99,21319,213.55
North,2018,65+,Female,Group D,36732,84.69,24875,67.72
North,2018,0-14,Male,Group D,2287,72.29,35739,1562.7
Central,2016,45-64,Male,Group A,41031,77.0,37137,90.51
North,2016,45-64,Male,Group B,22288,87.78,23847,106.99
Central,2012,65+,Male,Group D,33951,61.77,27153,79.98
West,2019,65+,Male,Group C,16592,87.83,4219,25.43
South,2024,45-64,Male,Group C,1632,58.02,20854,1277.82
South,2011,0-14,Female,Group B,12814,75.78,38824,302.98
South,2020,25-44,Female,Group C,39145,86.91,28534,72.89
South,2016,65+,Female,Group A,23082,63.28,16618,72.0
South,2018,65+,Female,Group A,28280,88.15,26942,95.27
South,2010,65+,Male,Group B,32736,62.17,13882,42.41
South,2022,15-24,Female,Group D,13568,89.37,12364,91.13
West,2023,0-14,Female,Group C,47901,75.16,7818,16.32
North,2013,0-14,Male,Group C,49026,84.44,3580,7.3
East,2015,0-14,Female,Group B,11557,94.45,24127,208.77
Central,2016,0-14,Male,Group B,34122,72.56,15363,45.02
East,2019,0-14,Male,Group C,39006,65.02,19760,50.66
East,2016,45-64,Male,Group D,2526,92.29,14925,590.86
North,2019,65+,Female,Group B,27063,61.95,4887,18.06
North,2011,45-64,Male,Group A,38633,82.15,30162,78.07
North,2023,15-24,Female,Group C,3050,94.7,1786,58.56
South,2013,25-44,Female,Group B,31422,84.0,8256,26.27
West,2014,65+,Female,Group B,7589,63.41,5622,74.08
South,2023,15-24,Male,Group B,17123,61.55,20242,118.22
West,2021,45-64,Male,Group C,12543,65.85,1152,9.18
West,2010,25-44,Male,Group A,1536,71.83,29732,1935.68
East,2010,15-24,Female,Group A,23016,61.84,38333,166.55
East,2019,25-44,Female,Group C,21664,89.31,12721,58.72
West,2012,15-24,Male,Group B,6622,70.35,11106,167.71
West,2024,45-64,Female,Group C,47846,95.25,3178,6.64
South,2024,25-44,Male,Group C,32286,91.23,31475,97.49
South,2019,15-24,Male,Group B,48957,94.08,12543,25.62
East,2012,45-64,Female,Group C,16650,67.66,12151,72.98
North,2021,65+,Female,Group D,22594,79.67,14891,65.91
West,2017,45-64,Male,Group A,12192,68.82,11720,96.13
South,2018,45-64,Female,Group D,12554,66.05,37876,301.7
East,2024,65+,Male,Group D,2267,81.1,11526,508.43
South,2023,45-64,Male,Group D,5208,90.17,30721,589.88
West,2020,65+,Female,Group C,41621,59.02,34927,83.92
West,2021,65+,Male,Group B,29792,66.86,38150,128.05
Central,2010,65+,Female,Group C,28582,63.82,1005,3.52
North,2023,15-24,Male,Group A,34524,89.33,36068,104.47
Central,2020,25-44,Female,Group C,27234,95.13,34543,126.84
East,2011,15-24,Female,Group C,43411,58.44,12122,27.92
South,2019,65+,Male,Group C,23961,71.31,8991,37.52
East,2011,25-44,Female,Group C,5851,94.32,35583,608.15
West,2024,25-44,Female,Group D,47531,69.82,15240,32.06
Central,2013,65+,Male,Group B,34017,85.64,25387,74.63
Central,2011,25-44,Female,Group A,17592,59.33,31060,176.56
Central,2016,25-44,Male,Group A,39684,74.11,26725,67.34
East,2022,15-24,Female,Group A,40218,76.64,38594,95.96
West,2024,25-44,Male,Group C,45596,87.58,25336,55.57
South,2018,65+,Male,Group A,25541,67.42,17210,67.38
South,2016,0-14,Male,Group D,26176,66.36,39852,152.25
East,2021,0-14,Male,Group B,34981,68.03,12174,34.8
Central,2015,0-14,Female,Group C,13277,78.89,9066,68.28
North,2024,65+,Male,Group C,24820,92.67,18486,74.48
East,2019,0-14,Female,Group D,8808,90.73,15215,172.74
East,2010,15-24,Male,Group A,43941,57.49,37340,84.98
West,2020,65+,Female,Group C,48646,92.8,26870,55.24
South,2019,65+,Male,Group C,15829,59.09,36810,232.55
East,2018,65+,Female,Group D,14382,72.86,20895,145.29
East,2014,25-44,Female,Group D,49847,87.91,25005,50.16
Central,2020,25-44,Male,Group A,5214,58.5,24390,467.78
Central,2014,25-44,Male,Group B,26550,56.74,8197,30.87
North,2015,45-64,Male,Group B,43932,69.19,22952,52.24
West,2018,15-24,Female,Group A,16253,86.39,18269,112.4
North,2022,65+,Female,Group B,30479,77.44,30708,100.75
Central,2017,65+,Female,Group D,45589,72.93,21717,47.64
South,2017,25-44,Female,Group D,15130,89.96,8724,57.66
Central,2023,65+,Male,Group D,18158,87.97,10271,56.56
West,2017,65+,Male,Group B,4209,88.8,39277,933.17
Central,2010,0-14,Male,Group B,33606,74.77,20796,61.88
West,2010,65+,Male,Group C,40029,55.84,9981,24.93
West,2017,45-64,Female,Group C,37543,62.4,34959,93.12
West,2014,25-44,Female,Group C,11991,86.88,27039,225.49
West,2018,15-24,Male,Group B,40030,87.39,2463,6.15
West,2011,15-24,Female,Group C,9334,96.81,25202,270.0
South,2018,0-14,Male,Group D,14858,63.18,38222,257.25
North,2021,15-24,Female,Group B,10372,60.29,25842,249.15
East,2023,15-24,Female,Group A,22157,60.97,35779,161.48
North,2017,25-44,Female,Group B,25327,62.95,12771,50.42
West,2018,25-44,Female,Group C,8673,77.72,17417,200.82
South,2013,45-64,Female,Group B,17185,96.93,7427,43.22
Central,2010,0-14,Female,Group C,11833,80.35,14407,121.75
South,2010,15-24,Male,Group C,11856,77.48,12872,108.57
West,2014,45-64,Female,Group A,41084,83.95,35486,86.37
South,2011,0-14,Male,Group A,45417,58.18,20251,44.59
South,2023,15-24,Male,Group D,11844,90.06,29079,245.52
West,2017,15-24,Male,Group C,49455,82.82,29045,58.73
South,2019,25-44,Male,Group B,45119,62.36,10215,22.64
East,2020,65+,Male,Group A,40498,82.12,17625,43.52
East,2014,0-14,Male,Group A,42071,80.64,21696,51.57
South,2014,15-24,Female,Group C,16295,57.79,907,5.57
Central,2011,0-14,Female,Group B,30243,66.48,17967,59.41
West,2016,45-64,Female,Group A,2443,71.81,26667,1091.57
East,2022,45-64,Male,Group A,25149,65.53,17886,71.12
Central,2017,65+,Male,Group B,47283,65.46,7318,15.48
South,2019,15-24,Male,Group A,21521,79.64,11413,53.03
Central,2022,25-44,Female,Group B,8848,75.25,31685,358.1
North,2010,15-24,Female,Group C,12250,83.69,15701,128.17
East,2011,0-14,Female,Group A,5885,96.13,9068,154.09
South,2019,45-64,Male,Group C,17139,83.4,29533,172.31
West,2013,0-14,Male,Group B,19994,80.03,34228,171.19
South,2014,65+,Male,Group C,42511,91.45,10745,25.28
West,2022,45-64,Female,Group C,49541,82.18,557,1.12
South,2011,25-44,Male,Group C,38300,62.12,21988,57.41
Central,2010,45-64,Male,Group D,39529,68.53,38380,97.09
Central,2018,15-24,Male,Group B,19140,86.53,36202,189.14
Central,2023,15-24,Male,Group B,35902,86.75,17002,47.36
North,2010,45-64,Female,Group B,2391,97.44,20539,859.01
West,2022,65+,Female,Group B,28759,81.96,1793,6.23
Central,2024,15-24,Male,Group B,29487,93.68,4802,16.29
North,2013,15-24,Male,Group A,11183,57.35,9777,87.43
West,2011,25-44,Female,Group A,10467,79.35,30529,291.67
South,2020,45-64,Female,Group A,12628,94.55,11143,88.24
North,2013,15-24,Male,Group C,40694,67.35,33212,81.61
East,2017,65+,Female,Group C,35238,61.66,4772,13.54
North,2017,0-14,Female,Group B,28795,70.07,16450,57.13
North,2024,45-64,Male,Group D,20837,89.07,16833,80.78
West,2020,25-44,Female,Group B,22702,58.64,39588,174.38
South,2021,15-24,Female,Group A,7271,80.81,26371,362.69
East,2018,65+,Female,Group B,43952,60.83,6069,13.81
Central,2022,45-64,Female,Group C,13357,73.73,6171,46.2
Central,2024,65+,Male,Group B,31801,96.54,14157,44.52
North,2020,65+,Female,Group A,31960,63.39,6168,19.3
West,2024,25-44,Female,Group B,21887,56.46,21453,98.02
West,2021,45-64,Male,Group C,10332,73.37,26141,253.01
Central,2014,15-24,Female,Group D,47908,79.84,7847,16.38
East,2016,25-44,Male,Group A,13126,67.79,25699,195.79
South,2012,15-24,Male,Group B,18985,78.3,31985,168.48
East,2019,0-14,Female,Group C,13923,96.0,16657,119.64
South,2013,65+,Female,Group A,31903,68.41,9200,28.84
Central,2019,0-14,Female,Group A,31123,68.31,38109,122.45
South,2018,65+,Female,Group C,17302,75.76,35094,202.83
West,2019,25-44,Female,Group B,16833,77.16,18788,111.61
North,2019,15-24,Male,Group B,35620,55.06,6670,18.73
North,2023,15-24,Female,Group B,28585,81.48,15673,54.83
Central,2021,25-44,Male,Group A,22659,97.89,16361,72.21
West,2010,45-64,Female,Group D,25160,67.56,20263,80.54
East,2011,0-14,Male,Group A,35019,82.12,13108,37.43
West,2014,0-14,Female,Group B,29297,55.2,12050,41.13
North,2012,15-24,Female,Group A,19541,80.99,1184,6.06
North,2011,15-24,Female,Group D,45435,74.22,7387,16.26
West,2010,15-24,Female,Group A,23007,77.8,28056,121.95
West,2019,25-44,Female,Group C,6024,78.39,20539,340.95
North,2012,45-64,Male,Group B,19235,62.61,38681,201.1
East,2010,0-14,Female,Group B,28175,88.11,14283,50.69
Central,2021,65+,Female,Group B,48451,78.89,25635,52.91
Central,2010,25-44,Female,Group A,18173,66.62,2285,12.57
West,2021,0-14,Male,Group A,44583,95.31,31037,69.62
Central,2010,45-64,Female,Group A,35970,55.55,39501,109.82
North,2017,25-44,Male,Group B,42103,86.22,16383,38.91
North,2024,0-14,Female,Group A,19789,71.39,35695,180.38
West,2012,25-44,Male,Group B,31730,77.47,33344,105.09
West,2020,0-14,Female,Group A,15042,67.53,39960,265.66
West,2010,0-14,Female,Group B,45527,68.81,22284,48.95
East,2016,45-64,Male,Group C,36190,55.65,37658,104.06
Central,2019,65+,Female,Group A,7154,86.38,1265,17.68
West,2012,45-64,Male,Group B,2521,85.56,3882,153.99
South,2017,0-14,Female,Group C,47223,83.14,32688,69.22
South,2013,25-44,Female,Group C,20508,92.75,31660,154.38
North,2013,45-64,Male,Group D,23228,93.75,9020,38.83
Central,2014,65+,Female,Group A,24662,78.93,18957,76.87
West,2015,0-14,Male,Group B,27946,84.45,23346,83.54
South,2016,45-64,Male,Group D,30479,55.47,8258,27.09
Central,2023,45-64,Female,Group A,48984,91.39,23052,47.06
North,2023,45-64,Female,Group C,44578,90.11,14318,32.12
East,2013,45-64,Female,Group A,49788,55.87,36942,74.2
Central,2017,25-44,Male,Group B,4725,78.34,6859,145.16
Central,2022,65+,Male,Group C,9709,93.99,5041,51.92
East,2015,65+,Female,Group D,45160,62.8,18535,41.04
Central,2023,0-14,Male,Group A,16223,70.16,20505,126.39
North,2010,15-24,Male,Group A,45987,69.24,3624,7.88
North,2010,25-44,Male,Group D,3640,70.31,14738,404.89
East,2018,0-14,Male,Group A,12221,56.8,3969,32.48
West,2019,0-14,Female,Group A,3087,67.0,31786,1029.67
South,2015,45-64,Female,Group A,43842,67.68,26647,60.78
West,2019,15-24,Female,Group C,39937,92.23,20215,50.62
Central,2017,15-24,Male,Group C,19489,70.14,35278,181.01
South,2022,25-44,Male,Group B,33226,74.23,2543,7.65
East,2016,15-24,Male,Group A,5504,71.37,3586,65.15
East,2021,0-14,Male,Group B,14801,60.19,35307,238.54
South,2015,15-24,Female,Group C,33179,97.59,883,2.66
North,2013,15-24,Male,Group A,28603,90.51,25651,89.68
South,2016,65+,Male,Group B,41668,78.26,1254,3.01
Central,2018,0-14,Female,Group A,8004,75.48,23795,297.29
North,2023,15-24,Female,Group A,37078,82.92,20598,55.55
East,2020,15-24,Female,Group D,6580,69.04,23885,362.99
South,2019,45-64,Male,Group B,7908,57.16,548,6.93
West,2019,15-24,Male,Group C,4653,72.39,29090,625.19
West,2023,15-24,Male,Group B,11555,97.31,16562,143.33
Central,2016,65+,Male,Group B,20260,62.84,33990,167.77
West,2010,0-14,Male,Group B,18252,77.69,25225,138.2
South,2019,25-44,Male,Group D,24693,55.37,703,2.85
South,2018,0-14,Female,Group A,4300,60.25,13776,320.37
West,2022,45-64,Male,Group C,1537,80.25,33490,2178.92
South,2013,0-14,Female,Group D,30554,67.79,12084,39.55
Central,2024,15-24,Female,Group C,27366,93.94,25405,92.83
North,2012,45-64,Female,Group D,1492,72.47,32985,2210.79
Central,2013,0-14,Male,Group A,24196,63.95,1468,6.07
Central,2013,45-64,Male,Group C,37778,78.46,1376,3.64
South,2022,25-44,Female,Group B,33661,89.18,18216,54.12
North,2019,0-14,Male,Group D,8505,55.84,12945,152.2
South,2020,15-24,Male,Group C,29900,76.74,12161,40.67
East,2011,45-64,Female,Group A,17241,88.26,36581,212.17
South,2023,65+,Male,Group C,18065,59.45,39558,218.98
South,2021,45-64,Male,Group D,40085,93.82,6968,17.38
South,2023,65+,Male,Group A,35333,66.37,19172,54.26
North,2010,15-24,Male,Group B,12594,62.34,33289,264.32
South,2021,25-44,Female,Group D,31780,80.34,7826,24.63
North,2019,65+,Female,Group D,47147,62.53,28603,60.67
West,2021,25-44,Male,Group A,44878,84.23,29232,65.14
East,2010,45-64,Male,Group D,20013,76.07,30426,152.03
North,2022,15-24,Male,Group C,654,59.73,28983,4431.65
West,2023,65+,Female,Group B,30762,94.24,8603,27.97
North,2017,45-64,Male,Group C,28634,83.95,29819,104.14
North,2023,0-14,Male,Group A,43014,78.48,2819,6.55
East,2011,45-64,Female,Group D,9178,71.1,1547,16.86
Central,2021,25-44,Male,Group B,6794,60.8,3364,49.51
Central,2019,15-24,Female,Group A,10074,85.42,13759,136.58
North,2014,15-24,Male,Group C,35683,89.99,27988,78.44
South,2021,45-64,Female,Group D,49247,60.41,33878,68.79
West,2013,0-14,Male,Group D,1570,76.27,7366,469.17
South,2017,25-44,Male,Group A,19138,75.85,35419,185.07
South,2011,45-64,Female,Group C,48053,70.05,603,1.25
North,2019,45-64,Female,Group D,26582,88.94,10233,38.5
North,2018,15-24,Female,Group C,16806,59.28,27424,163.18
North,2016,25-44,Female,Group B,43335,63.82,18274,42.17
North,2024,0-14,Female,Group D,8307,55.07,3685,44.36
Central,2022,15-24,Male,Group B,23724,71.04,9648,40.67
North,2016,45-64,Female,Group D,32643,67.52,20872,63.94
Central,2010,15-24,Female,Group A,25266,92.28,13610,53.87
Central,2023,15-24,Female,Group D,25215,87.07,14462,57.35
North,2021,65+,Female,Group D,7898,58.63,27960,354.01
East,2011,15-24,Male,Group C,12702,86.86,10034,79.0
West,2013,15-24,Male,Group C,28487,84.04,32479,114.01
South,2013,25-44,Male,Group B,36240,67.11,28128,77.62
Central,2020,15-24,Male,Group B,11812,55.66,21029,178.03
West,2023,0-14,Male,Group B,20854,59.95,23043,110.5
East,2012,45-64,Female,Group D,14127,65.75,34912,247.13
South,2016,25-44,Male,Group D,34613,90.11,20155,58.23
South,2021,15-24,Male,Group B,29258,75.01,34528,118.01
Central,2017,0-14,Female,Group A,40909,94.49,31832,77.81
North,2011,45-64,Female,Group A,28986,88.93,37715,130.11
East,2013,25-44,Male,Group D,15599,67.35,7354,47.14
Central,2023,0-14,Male,Group A,46653,91.35,28370,60.81
East,2012,15-24,Female,Group A,41912,60.02,31363,74.83
North,2011,65+,Male,Group B,2111,56.55,12285,581.95
North,2021,65+,Female,Group A,32157,81.17,27444,85.34
Central,2022,25-44,Female,Group A,18962,69.69,5527,29.15
North,2023,0-14,Male,Group D,11273,69.17,17339,153.81
West,2015,45-64,Male,Group D,24263,84.55,26075,107.47
South,2022,0-14,Male,Group D,39047,91.55,33464,85.7
Central,2013,65+,Female,Group A,42718,68.85,13260,31.04
East,2015,25-44,Female,Group B,29563,68.98,15856,53.63
West,2011,15-24,Male,Group C,40418,77.96,19005,47.02
Central,2021,0-14,Male,Group D,17237,83.09,34566,200.53
North,2013,65+,Male,Group D,45860,63.72,29055,63.36
North,2020,45-64,Female,Group D,14361,94.25,4327,30.13
North,2015,25-44,Female,Group B,43023,83.14,38519,89.53
North,2023,15-24,Female,Group C,30784,81.88,3790,12.31
